,Restraunt,Ratings,Address,Cuisine
1,New Pizza Delighto,3.6,"Keshavpuram, Kanpur",Pizza
2,CHOOLAAH,4.1,"Lajpat Nagar, Kanpur","Mughlai, Chinese"
3,Momo Hunger,3.7,"Keshavpuram, Kanpur","Chinese, Momos"
4,Model Bakery,4.2,"Swaroop Nagar, Kanpur","Bakery, Burger, Chinese, Continental, Desserts"
5,Pandits,3.4,"Rai Purwa, Kanpur","North Indian, Mithai"
6,Da Pizza Hub,4.1,"Panki, Kanpur","Pizza, Burger"
7,Sagar Ratna,4.0,"Mall Road, Kanpur","South Indian, North Indian, Chinese"
8,Baba Foods,4.4,"Swaroop Nagar, Kanpur","Mughlai, Hyderabadi"
9,Foodoo Pizza,3.9,"Kidwai Nagar, Kanpur","Fast Food, Pizza, Chinese"
10,Arabecue Pizza,3.6,"Lal Bangla, Kanpur","Fast Food, Pizza"
11,Zinaldia,4.4,"Swaroop Nagar, Kanpur","North Indian, Chinese, Italian, Mexican, Continental"
12,Shor - Lounge & Bar,3.7,"Swaroop Nagar, Kanpur","Chinese, North Indian, Italian, Finger Food"
13,Liquid,4.0,"Ashok Nagar, Kanpur","Finger Food, North Indian, Continental, Italian, Mediterranean"
14,Ajmeri Darbar,3.8,"Mall Road, Kanpur","Mughlai, Mediterranean"
15,Funny Town Fast Food,4.2,"Barra, Kanpur","Fast Food, Chinese, North Indian"
16,Krishna Bhojnalaya,3.7,"Ghantaghar, Kanpur",North Indian
17,Durga Sweets & Restaurant,3.8,"Lal Bangla, Kanpur","North Indian, Fast Food"
18,Urban Swad,4.3,"Lal Bangla, Kanpur","Fast Food, Pizza"
19,Shanti Niketan Sweets,3.9,"Ashok Nagar, Kanpur",Desserts
20,Arabian Nights Grill & Cafe,3.7,"Swaroop Nagar, Kanpur","Cafe, Arabian, Fast Food"
21,S.D.Chat & Fast Food Corner,4.0,"Naveen Market, Mall Road, Kanpur","Chinese, Fast Food"
22,Jai Siya Ram,3.8,"Ghantaghar, Kanpur",North Indian
23,Samocha- Stories Around Chai,4.2,"IIT Kanpur, Kanpur","Cafe, Street Food, Sandwich, Fast Food, Beverages"
24,Mocha,4.9,"Mall Road, Kanpur",Cafe
25,The Chocolate Room,4.2,"Swaroop Nagar, Kanpur","Cafe, Desserts"
26,Offline Cafe,4.2,"Tilak Nagar, Kanpur","Cafe, Continental"
