,Restraunt,Ratings,Address,Cuisine
1,Flavours Of Happiness,3.9,"Lanka, Varanasi","Cafe, Italian"
2,Apna Family Restaurant,3.7,"Lanka, Varanasi","North Indian, Chinese, Continental, Biryani, Fast Food"
3,Crystal Food Mania,3.5,"Sunderpur, Varanasi","Chinese, North Indian, Fast Food"
4,Nitin Point & Fast Food,3.8,"Sigra, Varanasi","North Indian, South Indian, Chinese"
5,Sandesh Sweet and Restaurant,3.8,"Pandeypur, Varanasi","North Indian, South Indian, Chinese, Mithai"
6,Italian Pizza,3.9,"Lanka, Varanasi","Pizza, Italian"
7,Kashi Chat Bhandar,4.7,"Godaulia, Varanasi",Street Food
8,Green Leaf,3.8,"Sunderpur, Varanasi","North Indian, South Indian, Chinese"
9,Tanish Dining and Cafe,4.1,"Lanka, Varanasi","Biryani, Desserts, North Indian, Chinese"
10,AFC Restaurant,3.9,"Nadesar, Varanasi","Fast Food, North Indian, Chinese, Biryani, Italian, Burger, Sandwich"
11,The 3rd Floor Bar Stock...,4.2,"Sigra, Varanasi","Chinese, Italian, Thai, Momos"
12,Food Express,4.1,"Nadesar, Varanasi","North Indian, Mughlai, Chinese"
13,Deena Chat Bhandar,4.6,"Godaulia, Varanasi","Street Food, Chinese"
14,Wow Pizza,3.7,"Sunderpur, Varanasi",Pizza
15,Manbhavan Fast Food Corner,3.7,"Lanka, Varanasi","Chinese, Fast Food"
16,City Pleasantry,3.6,"Shivala, Varanasi","Burger, Fast Food, Pizza, Chinese, North Indian, Rolls"
17,Hangout Burgers,3.7,"Durgakund, Varanasi","Burger, Fast Food, Beverages"
18,Crood Square,4.0,"Lanka, Varanasi","North Indian, Continental, Italian, Chinese, Desserts"
19,Downtown Pizza,3.6,"Assi Ghat, Varanasi","Beverages, Italian, Pizza"
20,The Tripling Bistro,4.0,"Assi Ghat, Varanasi","Continental, Mexican, Burger, Fast Food, Italian, Pizza, Chinese, Middle Eastern"
21,Apna Fast Food Corner,4.0,"Bhelupur, Varanasi","Fast Food, Chinese"
22,Cafebility,4.4,"Vinayak Plaza, Chetganj, Varanasi","Cafe, Continental"
23,Roma's Café Diner,4.8,"Lanka, Varanasi","Continental, Cafe, North Indian, Italian, Asian, Mediterranean, Mexican"
24,Ming Garden Bakery,4.3,"Lanka, Varanasi","Cafe, Bakery, Italian"
25,Cafebility,4.5,"Sigra, Varanasi","North Indian, Chinese, Biryani, Italian, Continental, Mughlai, Mexican"
26,Central Conversations Cafe,4.0,"Lanka, Varanasi","Cafe, Sandwich, Healthy Food, Pizza, Fast Food"
27,The Chocolate Heaven,4.3,"Bhelupur, Varanasi","Cafe, Fast Food, Desserts"
